time_namelookup,time_connect,time_pretransfer,time_starttransfer,time_total
0.000909,0.001008,0.001064,0.027934,0.028008
0.000794,0.000894,0.000954,0.025664,0.025719
0.001467,0.001594,0.001668,0.031354,0.031434
0.001127,0.001260,0.001326,0.026223,0.026293
0.000985,0.001090,0.001152,0.035357,0.035428
0.000938,0.001071,0.001141,0.029394,0.029451
0.001042,0.001156,0.001217,0.030951,0.031015
0.000871,0.000981,0.001063,0.026664,0.026719
0.000866,0.000976,0.001030,0.027910,0.027972
0.000965,0.001079,0.001150,0.025252,0.025314
0.000910,0.001019,0.001086,0.025637,0.025699
0.000774,0.000880,0.000932,0.025077,0.025140
0.000880,0.000978,0.001031,0.026352,0.026416
0.000876,0.000982,0.001039,0.032990,0.033054
0.000931,0.001067,0.001163,0.021191,0.021250
0.001721,0.001838,0.001899,0.033251,0.033314
0.000869,0.000988,0.001053,0.032621,0.032682
0.001114,0.001257,0.001340,0.037365,0.037448
0.000869,0.000992,0.001054,0.033279,0.033342
0.003801,0.003902,0.003958,0.030585,0.030639
0.000953,0.001066,0.001133,0.026545,0.026604
0.001048,0.001161,0.001226,0.026031,0.026096
0.000859,0.000997,0.001058,0.025934,0.025990
0.000900,0.001046,0.001115,0.020911,0.020976
0.001153,0.001276,0.001339,0.021139,0.021204
0.000881,0.000986,0.001086,0.025546,0.026566
0.000883,0.000994,0.001060,0.018917,0.018978
0.000933,0.001050,0.001117,0.027871,0.027938
0.000908,0.001088,0.001150,0.019833,0.019893
0.001026,0.001134,0.001207,0.019345,0.019405
0.001038,0.001153,0.001222,0.028642,0.028701
0.000865,0.000976,0.001052,0.022947,0.023017
0.001161,0.001301,0.001380,0.030436,0.030508
0.000832,0.000935,0.000996,0.021874,0.021937
0.001265,0.001374,0.001428,0.026007,0.026065
0.002971,0.003089,0.003137,0.032855,0.034289
0.001492,0.001611,0.001668,0.032864,0.032939
0.000908,0.001031,0.001093,0.020679,0.020735
0.000944,0.001048,0.001107,0.018755,0.018809
0.000984,0.001099,0.001164,0.024106,0.024166
0.000940,0.001052,0.001117,0.025075,0.026072
0.000819,0.000927,0.000985,0.034333,0.034392
0.000892,0.000992,0.001052,0.021038,0.022068
0.000794,0.000919,0.000984,0.026503,0.026564
0.000779,0.000887,0.000949,0.025966,0.026032
0.000827,0.000951,0.001012,0.026298,0.026350
0.000781,0.000878,0.000945,0.025128,0.025195
0.001101,0.001234,0.001305,0.030323,0.030405
0.000897,0.001065,0.001124,0.021615,0.021677
0.001497,0.001596,0.001653,0.034619,0.035026
0.000874,0.000981,0.001040,0.026610,0.026682
0.000974,0.001107,0.001175,0.025111,0.025185
0.000843,0.000966,0.001025,0.020099,0.020155
0.001050,0.001170,0.001233,0.026908,0.026961
0.000943,0.001086,0.001151,0.025808,0.025865
0.000931,0.001053,0.001166,0.019786,0.019857
0.000790,0.000896,0.000956,0.032450,0.032506
0.000994,0.001111,0.001174,0.026255,0.026310
0.000830,0.000938,0.001002,0.026050,0.026121
0.001084,0.001190,0.001254,0.019183,0.019724
0.000834,0.000938,0.000998,0.029826,0.029895
0.000830,0.000936,0.000998,0.023645,0.023708
0.000932,0.001054,0.001115,0.021299,0.021354
0.000863,0.000989,0.001057,0.026920,0.026991
0.000988,0.001139,0.001216,0.025579,0.025662
0.001421,0.001544,0.001604,0.026999,0.027070
0.001102,0.001227,0.001286,0.028366,0.028432
0.001069,0.001208,0.001271,0.025459,0.025530
0.001042,0.001185,0.001241,0.026011,0.026069
0.001030,0.001153,0.001221,0.028633,0.028701
0.001047,0.001169,0.001231,0.024482,0.024544
0.000792,0.000900,0.000959,0.019875,0.019938
0.000958,0.001066,0.001123,0.029044,0.029122
0.000902,0.001007,0.001069,0.027104,0.027163
0.000992,0.001098,0.001156,0.020422,0.020490
0.000838,0.000958,0.001025,0.017390,0.017444
0.000752,0.000852,0.000932,0.018552,0.018612
0.000944,0.001049,0.001104,0.023726,0.023787
0.001011,0.001132,0.001194,0.033195,0.033274
0.001246,0.001379,0.001453,0.034365,0.034442
0.001165,0.001273,0.001333,0.028289,0.028360
0.001026,0.001152,0.001220,0.021333,0.021395
0.000966,0.001153,0.001217,0.020970,0.021046
0.000911,0.001029,0.001088,0.024247,0.024304
0.000835,0.000956,0.001029,0.019221,0.019277
0.000908,0.001031,0.001101,0.023976,0.024038
0.000878,0.000995,0.001060,0.022735,0.022801
0.000835,0.000939,0.001006,0.026414,0.026478
0.000802,0.000902,0.000967,0.025112,0.025170
0.001097,0.001218,0.001284,0.019169,0.019224
0.000823,0.000966,0.001028,0.019875,0.019943
0.000985,0.001106,0.001173,0.025785,0.025852
0.000912,0.001023,0.001084,0.019876,0.019935
0.000991,0.001108,0.001173,0.029134,0.029203
0.000812,0.000928,0.000993,0.019240,0.019295
0.000850,0.000960,0.001029,0.018837,0.018890
0.002076,0.002222,0.002289,0.024219,0.024276
0.000850,0.000983,0.001049,0.026138,0.026208
0.000985,0.001086,0.001140,0.029862,0.029920
0.000891,0.001010,0.001076,0.027106,0.027178
0.001147,0.001280,0.001343,0.024496,0.024556
0.000823,0.000944,0.001023,0.028934,0.028996
0.000878,0.000994,0.001056,0.020303,0.020356
0.000681,0.000775,0.000832,0.026361,0.026424
0.000801,0.000912,0.000979,0.023058,0.023113
0.000902,0.001018,0.001086,0.019171,0.019228
0.000731,0.000845,0.000913,0.019321,0.019375
0.000852,0.000972,0.001036,0.028455,0.028513
0.000945,0.001062,0.001126,0.021276,0.021335
0.000967,0.001082,0.001142,0.026258,0.026312
0.001093,0.001201,0.001262,0.027686,0.027741
0.000893,0.001018,0.001081,0.022164,0.022236
0.000800,0.000916,0.000981,0.021264,0.021323
0.001065,0.001171,0.001227,0.020339,0.020397
0.000811,0.000907,0.000965,0.024609,0.024674
0.001694,0.001811,0.001874,0.032172,0.032235
0.001019,0.001140,0.001199,0.024761,0.024825
0.000986,0.001103,0.001160,0.030157,0.030216
0.000976,0.001094,0.001155,0.029064,0.029119
0.001061,0.001231,0.001303,0.035837,0.035906
0.000775,0.000879,0.000940,0.031545,0.031623
0.000860,0.000976,0.001036,0.026300,0.026360
0.000875,0.001206,0.001279,0.025435,0.025500
0.000898,0.001030,0.001111,0.027267,0.027333
0.001010,0.001119,0.001181,0.021499,0.021563
0.001353,0.001471,0.001533,0.026412,0.026474
0.001044,0.001161,0.001232,0.027519,0.027584
0.001006,0.001184,0.001244,0.022498,0.022561
0.000907,0.001022,0.001079,0.032219,0.032275
0.000846,0.000953,0.001010,0.019416,0.019486
0.000997,0.001145,0.001206,0.020576,0.020641
0.000889,0.000996,0.001053,0.021684,0.021751
0.001126,0.001240,0.001295,0.033920,0.033985
0.000924,0.001028,0.001086,0.023853,0.023919
0.000888,0.000987,0.001041,0.022337,0.022401
0.000835,0.000983,0.001058,0.033810,0.033876
0.000873,0.000986,0.001043,0.027317,0.027380
0.000914,0.001016,0.001070,0.025710,0.025771
0.000918,0.001034,0.001095,0.020035,0.020087
0.001100,0.001210,0.001270,0.025789,0.025859
0.000811,0.000921,0.000984,0.020597,0.020672
0.001649,0.001807,0.001866,0.022630,0.022686
0.000855,0.000965,0.001028,0.031551,0.031608
0.001239,0.001372,0.001439,0.031798,0.031872
0.001211,0.001321,0.001382,0.024736,0.024799
0.003841,0.003966,0.004031,0.035244,0.035323
0.000825,0.000939,0.001002,0.025903,0.025966
0.000906,0.001019,0.001076,0.027782,0.027844
0.001149,0.001273,0.001334,0.027662,0.027744
0.001086,0.001207,0.001275,0.021639,0.021708
0.000914,0.001021,0.001078,0.030901,0.030974
0.000891,0.000999,0.001053,0.021616,0.021672
0.000876,0.000981,0.001038,0.027241,0.027307
0.000949,0.001054,0.001128,0.028793,0.028858
0.000841,0.000956,0.001020,0.019115,0.019177
0.000929,0.001031,0.001096,0.028031,0.028099
0.000951,0.001069,0.001137,0.020723,0.020776
0.001023,0.001146,0.001209,0.027422,0.027499
0.001219,0.001368,0.001442,0.035450,0.035542
0.000731,0.000839,0.000904,0.021192,0.021252
